time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2,158391;0,5532;0,2877;-0,0782;0,628
2,159975;0,5532;0,3260;-0,0720;0,646
2,160985;0,5545;0,2474;-0,0752;0,612
2,179643;0,5173;0,1692;-0,0739;0,549
2,181002;0,4392;0,0561;-0,0762;0,449
2,200710;0,6656;-0,0160;-0,0915;0,672
2,201882;0,7369;-0,0473;-0,0762;0,742
2,202672;0,6577;0,1094;-0,0739;0,671
2,226756;0,7675;0,1163;-0,0528;0,778
2,227811;0,5694;0,1633;-0,0484;0,594
2,252277;0,3312;0,2128;-0,0253;0,394
2,253700;0,3208;0,2264;-0,0209;0,393
2,254660;0,3866;0,2788;-0,0085;0,477
2,276862;0,3385;0,2916;-0,0107;0,447
2,278403;0,6765;0,3771;-0,0064;0,775
2,302245;0,5550;0,4623;-0,0384;0,723
2,303692;0,3951;0,3177;-0,0343;0,508
2,304485;0,2736;0,2114;-0,0316;0,347
2,326985;0,4204;0,2197;-0,0274;0,475
2,328423;0,9510;0,2655;-0,0233;0,988
2,351866;0,9456;0,4256;-0,0193;1,037
2,353283;0,5583;0,3545;0,0697;0,665
2,354086;0,3648;0,3569;0,0693;0,515
2,376752;0,0577;0,1662;0,0418;0,181
2,377838;0,2507;0,0493;0,0253;0,257
2,403272;0,5211;0,1229;0,0227;0,536
2,404298;0,8291;0,3124;0,0288;0,886
2,404927;0,5614;0,3883;0,0259;0,683
2,426586;0,3680;0,3905;0,0262;0,537
2,427810;0,4435;0,4301;0,0228;0,618
2,452950;0,5214;0,5816;0,0290;0,782
2,454960;0,6370;0,8104;0,0251;1,031
2,456062;0,7120;0,6590;-0,0178;0,970
2,476765;1,0168;0,4310;0,6001;1,257
2,477923;1,2452;0,3560;0,5958;1,426
2,501758;1,7413;0,4348;0,6776;1,918
2,503430;1,7406;0,4356;0,6741;1,917
2,504242;1,9669;0,5164;2,3302;3,093
2,527056;2,4585;0,5244;2,6942;3,685
2,529010;2,4491;0,2678;2,6913;3,649
2,551842;2,2430;0,3619;2,2429;3,193
