time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2,875789;-0,0962;0,1402;-0,0708;0,184
2,876621;-0,2501;0,1405;-0,0728;0,296
2,877058;-0,2867;-0,1666;-0,0615;0,337
2,900412;-0,2453;-0,3212;-0,0945;0,415
2,900864;3,1675;-2,9658;-0,0962;4,340
2,925222;1,2146;-0,5911;-0,0540;1,352
2,925823;-2,3079;1,5918;-0,0558;2,804
2,926169;-1,6916;1,8585;0,2078;2,522
2,950528;-1,1890;2,4694;-0,0628;2,741
2,951014;-1,4482;1,0865;-0,0600;1,811
2,975069;4,0777;-2,0207;-0,4390;4,572
2,975595;6,0376;-4,7816;-0,4347;7,714
2,975957;4,8947;-4,0182;-0,8133;6,385
3,000706;2,7550;-2,1820;-1,1533;3,699
3,001822;-0,9546;0,6117;-1,1478;1,613
3,025903;-7,5284;1,9459;-0,7967;7,817
3,028421;-7,6289;0,6755;-0,7898;7,699
3,030094;-3,6009;-0,1092;4,8858;6,070
3,051068;-2,6191;-0,2883;4,8917;5,556
3,053687;-1,4694;-0,6259;4,8956;5,150
3,078579;2,9818;-1,1571;4,8987;5,850
3,080925;3,0511;-1,1837;1,5692;3,629
3,082450;3,2931;-0,5898;1,5725;3,697
3,101185;2,4780;-0,3416;0,9636;2,681
3,102350;1,3407;-0,3624;0,9162;1,664
3,126689;0,4493;-0,5398;0,8515;1,104
3,128596;-0,4256;-0,5463;0,9011;1,136
3,130403;-0,9604;-0,5661;0,8330;1,392
3,150862;-0,7661;-0,8698;2,5579;2,808
3,152217;-0,2190;-1,3673;2,4728;2,834
3,180310;-0,7556;-4,8834;2,3610;5,477
3,182870;1,4896;-5,0571;2,2259;5,723
3,184564;3,4804;-5,1269;0,9244;6,265
3,200780;3,4603;-4,6323;0,8118;5,839
3,202759;2,2531;-3,3120;0,5159;4,039
3,226023;-1,2932;-0,9892;0,4146;1,680
3,229057;-2,4716;-0,5541;0,5052;2,583
3,231179;-2,6818;-0,7920;1,0523;2,988
3,251143;-2,6218;-1,5094;0,9288;3,165
3,253809;-2,3530;-2,1292;1,3014;3,430
3,276223;-2,4780;-2,8193;1,2231;3,948
3,278454;-1,3867;-2,5560;1,1856;3,140
3,280492;-0,1385;-1,7729;1,0605;2,070
3,301674;0,7563;-0,6557;0,9278;1,365
3,304721;0,8222;-0,0241;0,8048;1,151
3,326290;-0,8703;1,7254;0,0033;1,932
3,329054;-0,9121;1,7623;-0,2012;1,995
3,331313;1,0200;4,5680;-0,2649;4,688
3,350650;1,3532;4,4751;-0,4804;4,700
3,352481;0,9923;3,5623;-0,5467;3,738
3,376166;0,2480;2,7270;-0,8774;2,875
3,378540;-0,4519;2,2111;-0,9255;2,439
3,380792;-1,6968;1,9207;-0,9441;2,731
3,401694;-2,3056;1,5499;-0,8118;2,894
3,404674;-2,3603;1,4541;-0,7838;2,881
3,426209;-1,8438;0,5526;0,0963;1,927
3,428841;-1,9023;0,7515;0,1708;2,052
3,430356;-1,7472;0,7856;1,6699;2,541
3,450897;-1,8817;0,9641;1,7603;2,751
3,453658;-1,6403;0,9790;1,8437;2,655
3,476155;-0,9288;1,2730;1,8989;2,468
3,478378;-0,4016;0,9720;0,6862;1,256
3,480376;-0,7394;0,5719;0,5280;1,074
3,501319;-1,1954;0,2579;0,5350;1,335
3,503989;-0,6192;0,8283;-0,2651;1,068
3,526283;-1,7628;2,0507;-0,2630;2,717
3,529055;-2,9276;3,5389;0,4994;4,620
3,530590;-3,9901;4,2705;0,4815;5,864
3,551212;-3,5310;3,7081;0,4486;5,140
3,554336;-2,6869;2,9951;0,4090;4,044
3,575920;-2,7604;3,3177;0,3695;4,332
3,578445;-2,6364;3,2951;-0,1268;4,222
3,580525;-3,4705;4,0384;-0,1549;5,327
3,601213;-4,3692;2,7012;-0,2491;5,143
3,604854;-2,8466;0,1306;-0,2583;2,861
3,626027;-1,8369;-1,9668;-4,4784;5,225
3,629400;-1,8590;-3,1440;-4,4770;5,778
3,631452;-1,3430;-2,6396;-4,4481;5,344
3,651014;0,2017;-3,0563;-2,2508;3,801
3,654133;0,7060;-4,0830;-2,1946;4,689
3,676210;0,8620;-4,9911;3,5296;6,173
3,678705;0,3993;-4,6674;3,5731;5,892
3,680864;0,1878;-3,6061;3,5877;5,090
3,701080;0,6579;-2,4235;3,5831;4,375
3,703279;1,2784;-1,4695;-0,0197;1,948
3,726161;2,9031;-0,1308;-0,0200;2,906
3,728423;2,5088;-0,2077;-0,3294;2,539
3,729919;1,3314;-0,2440;-0,5699;1,469
3,751891;0,3592;0,1028;-0,5787;0,689
3,754550;0,0848;0,6806;-1,6996;1,833
3,775918;0,0637;1,1805;-1,6987;2,070
3,778227;-0,0453;1,5665;-1,8496;2,424
3,780279;0,1428;1,5346;-1,8547;2,411
3,801326;0,7487;1,1965;-1,7007;2,210
3,804121;1,6169;0,4781;-1,7028;2,396
3,826005;2,7104;-0,5823;-0,4438;2,808
3,828984;2,5651;-0,5704;-0,1270;2,631
3,830704;2,6303;-1,1805;-0,0762;2,884
3,851046;1,8905;-1,7557;0,0003;2,580
3,854327;0,7369;-1,7103;0,0725;1,864
3,876368;-0,7820;-1,5555;-0,4706;1,803
3,878870;-1,8006;-1,4500;-0,4034;2,347
3,880985;-2,4922;-1,4247;-1,5581;3,266
3,901197;-2,8875;-1,2496;-1,4896;3,481
3,904339;-3,2502;-1,0022;-1,3870;3,673
3,926065;-3,1923;-0,6745;-0,9926;3,410
3,929413;-2,7191;-0,3438;-0,9135;2,889
3,931786;-1,9872;-0,0414;-0,0086;1,988
3,950917;-1,0785;0,4902;-0,0048;1,185
3,953927;-0,0087;0,7530;0,2262;0,786
3,976205;1,9422;1,5898;0,2316;2,521
3,979230;3,1774;1,8889;0,2369;3,704
3,981652;3,5406;1,1139;1,1653;3,890
4,006212;4,4665;1,3699;1,1775;4,818
4,009544;5,1328;0,5484;1,3073;5,325
4,026482;5,1021;-0,3473;1,3233;5,282
4,029132;4,2950;-1,0408;1,3281;4,615
4,030693;3,2363;-1,2258;1,3237;3,705
4,051411;2,0532;-1,0924;0,8442;2,474
4,054305;1,5288;-0,7964;0,7689;1,887
4,076498;1,6224;-0,4190;0,4461;1,734
4,079277;1,7545;-0,3077;-0,1017;1,784
4,081471;2,2228;-0,3149;-0,1435;2,250
4,105179;2,7065;-0,3484;-0,1726;2,734
4,108417;3,2357;-0,6390;-0,1979;3,304
4,126191;3,2647;-0,6933;0,0854;3,339
4,128894;4,4378;-0,7016;0,0641;4,493
4,129982;6,5153;-1,2348;0,0439;6,631
4,151010;5,2840;-0,8743;0,0259;5,356
4,154083;4,6649;0,1076;0,0129;4,666
4,176127;4,1217;0,9849;0,0746;4,238
4,178815;2,8854;3,2724;0,0678;4,363
4,181071;1,8993;5,6549;2,0156;6,297
4,204125;1,6060;7,6386;2,0089;8,060
4,207051;1,0814;8,9344;2,0117;9,222
4,226141;0,5576;9,9221;2,0341;10,144
4,228880;0,4220;9,9905;0,8691;10,037
4,230598;-2,6476;7,3327;-3,1674;8,415
4,251084;-2,9424;4,3889;-3,1218;6,137
4,254129;-2,5403;1,4950;-3,0717;4,257
4,276382;-2,5150;-0,8270;-3,0239;4,019
4,279726;-2,5120;-2,3525;-1,5618;3,779
4,281456;-2,0269;-2,8160;-1,5232;3,789
4,303253;-1,0601;-2,5613;1,8791;3,349
4,306182;0,1506;-2,1192;1,8994;2,850
4,325348;0,8677;-1,7875;1,8888;2,741
4,326894;0,8834;-1,3312;0,2943;1,625
4,328446;0,8902;-0,8112;0,2622;1,233
4,350965;1,3722;-0,6666;-1,9335;2,463
4,352765;2,9661;0,3163;-1,9227;3,549
4,376197;2,3336;1,1745;-1,8407;3,196
4,378963;0,0588;2,4899;-1,7522;3,045
4,380948;-3,0183;1,9282;0,3671;3,600
4,402424;-4,0727;-0,8307;4,0784;5,823
4,405405;-2,6159;-4,1076;4,0780;6,352
4,426012;-3,3089;-2,8580;4,0499;5,960
4,428774;-3,6253;-0,1865;4,0151;5,413
4,430237;-3,4186;0,9613;1,1725;3,740
4,450169;-3,6066;1,3550;1,0936;4,005
4,452866;-4,2556;0,8414;-1,1170;4,480
4,476260;-4,5381;0,0674;-1,1434;4,680
4,479008;-4,8002;-0,4736;-1,1341;4,955
4,481101;-5,2970;-0,8214;0,7714;5,416
4,501396;-5,9090;-1,3100;3,5662;7,025
4,504067;-5,5326;-2,5260;3,5281;7,031
4,526539;-5,0076;-4,1471;4,1770;7,728
4,529663;-4,5026;-5,4467;3,9794;8,110
4,531504;-4,5218;-6,3179;3,6340;8,577
4,550915;-4,5875;-6,8962;3,2593;8,901
4,553703;-4,6716;-6,9224;2,9133;8,845
4,576005;-4,2545;-5,6946;2,6577;7,589
4,578634;-3,1255;-4,6760;3,9801;6,890
4,580234;-1,0379;-4,1891;3,6949;5,681
4,601357;2,1287;-3,8498;5,1040;6,738
4,603843;5,1072;-2,8628;4,7901;7,565
4,625871;6,7052;-1,7894;4,4369;8,237
4,629071;6,2703;-1,6512;3,2795;7,266
4,631075;4,5519;-1,5294;2,9304;5,626
4,651252;2,9340;-0,7493;-2,5413;3,953
4,654308;0,1757;-0,1994;-2,8895;2,902
4,676167;-5,1165;1,9519;-7,8398;9,563
4,679203;-9,2845;7,3695;-8,1031;14,359
4,681266;-6,9075;7,7080;-8,2485;13,235
4,701364;-3,7865;5,9785;-8,3548;10,949
4,704261;-1,8383;5,3061;-10,0564;11,518
4,726333;2,4290;2,6432;-10,1225;10,740
4,729514;2,2692;2,5622;-8,6556;9,308
4,731337;3,4372;0,2646;-8,4987;9,171
4,751317;9,1159;-3,1150;-8,1054;12,590
4,754537;13,2087;-3,4990;-6,3999;15,089
4,775828;9,3966;-3,8673;-5,9103;11,755
4,778825;1,4446;-3,1770;-2,4247;4,250
4,780862;-5,1199;-1,9181;-1,8470;5,771
4,801624;-7,0762;-1,2624;3,0827;7,821
4,804328;-5,5721;0,1574;3,8055;6,749
4,826196;-0,9759;3,5090;4,9826;6,172
4,829321;3,8160;6,2859;8,1435;10,972
4,831062;6,1564;9,4734;8,7592;14,296
4,851111;8,2316;11,5210;9,2929;16,937
4,854387;9,8755;11,5803;9,6262;18,008
4,875578;3,7810;8,9872;1,7328;9,903
4,877322;5,3991;7,3538;1,7753;9,294
4,878601;5,5558;6,4953;1,7243;8,719
4,901127;3,8924;6,1301;3,0704;7,884
4,903761;1,0029;5,1090;2,7767;5,901
4,926113;-2,2741;2,3541;2,8571;4,345
4,929232;-4,6248;-0,6365;2,6072;5,347
4,931097;-5,5939;-3,5305;5,8914;8,858
4,951211;-4,7042;-5,8289;5,5296;9,310
4,954497;-3,0793;-7,5691;1,6010;8,327
4,975923;-0,5292;-9,3311;1,4479;9,458
4,978919;-0,5950;-9,2760;0,0078;9,295
4,981306;-0,7589;-9,2434;-0,5667;9,292
5,001076;-2,2531;-8,3739;-0,6673;8,697
