time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
4,818094;0,0116;-0,1239;0,0744;0,145
4,818553;0,0150;-0,0148;0,0939;0,096
4,843546;0,2475;0,1743;0,0925;0,317
4,844052;0,3259;0,2873;0,0343;0,436
4,844176;0,1359;0,2474;0,0096;0,282
4,868731;-0,0927;0,3235;0,0084;0,337
4,869117;-0,0161;0,4032;0,0043;0,404
4,893637;0,0216;0,6378;0,0016;0,638
4,894056;0,2880;0,5281;-0,0851;0,607
4,894202;0,3231;0,1106;-0,0840;0,352
4,918467;0,0526;0,0352;-0,0709;0,095
4,918743;-0,1392;0,2239;-0,0687;0,272
4,944150;-0,0992;0,1786;-0,0297;0,206
4,945216;0,0564;0,0943;-0,0272;0,113
4,945885;0,0971;0,0100;-0,1338;0,166
4,969712;0,2509;0,0414;-0,1296;0,285
4,970906;0,3267;0,3394;-0,1560;0,496
4,993759;0,3260;0,3261;-0,1455;0,484
4,994806;0,2115;0,2727;-0,1008;0,360
4,995420;0,2500;-0,0098;-0,1130;0,274
5,019472;0,2862;-0,0982;-0,1018;0,319
5,020546;0,2401;-0,1436;-0,0967;0,296
5,045301;0,0397;0,0802;-0,0815;0,121
5,046508;0,0332;0,0729;-0,0516;0,095
5,047406;0,1075;0,4089;-0,0422;0,425
5,069760;0,3343;0,5531;-0,1011;0,654
5,071191;0,5569;0,5491;-0,2454;0,820
5,093782;0,3545;0,6651;-0,2327;0,789
5,094912;-0,1167;0,5499;-0,3035;0,639
5,096206;-0,0874;0,3130;-0,2869;0,433
5,117616;0,2113;-0,1547;-0,2617;0,370
5,118627;0,5108;-0,5445;-0,2558;0,789
5,143945;0,2765;-0,6599;-0,2499;0,758
5,145566;-0,0789;-0,8862;-0,0646;0,892
5,146216;-0,2452;-0,8420;-0,0526;0,879
5,169599;-0,5239;-0,5306;0,1284;0,757
5,171068;-0,7582;-0,2244;0,1343;0,802
5,195672;-1,1763;0,6467;0,1900;1,356
5,197419;-1,2469;0,6690;0,1947;1,428
5,198327;-1,1237;0,6819;0,2820;1,344
5,219879;-2,4167;1,0781;0,2896;2,662
5,221187;-2,9787;1,6625;-2,0200;3,964
5,243802;-3,6082;2,2024;-2,0203;4,685
5,246265;-4,1910;2,7361;-3,0459;5,859
5,247852;-4,4588;3,5748;-3,0605;6,483
