time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,853281;0,2736;-0,5751;-0,1028;0,645
1,853857;0,3430;-0,5309;-0,0706;0,636
1,854112;0,2971;-0,2181;-0,0554;0,373
1,877707;-0,0172;-0,1347;-0,0278;0,139
1,878004;-0,1418;-0,3176;-0,0295;0,349
1,902982;-0,1890;-0,5011;-0,0151;0,536
1,903395;-0,3490;-0,6480;0,0104;0,736
1,903528;-0,4310;-0,8728;0,0103;0,973
1,927665;-0,4781;-0,7880;0,0523;0,923
1,928019;-0,4892;-0,2796;0,0800;0,569
1,954091;-0,3845;-0,1934;0,0780;0,437
1,955404;-0,3178;0,0075;0,1481;0,351
1,956129;-0,3272;0,2079;0,1461;0,414
1,978494;-0,2574;0,2910;0,0934;0,400
1,979753;-0,1839;0,2557;0,0903;0,328
2,003420;-0,1841;0,2176;0,1357;0,316
2,004521;-0,2200;0,4069;0,1317;0,481
2,005299;-0,1383;0,5937;0,0892;0,616
2,028892;-0,0919;0,5095;0,0562;0,521
2,029830;-0,1928;0,5729;0,0500;0,607
2,060738;-0,2515;0,2881;0,0606;0,387
2,062005;-0,2337;0,2716;0,0537;0,362
2,062825;-0,3710;0,1419;0,0519;0,401
2,078619;-0,3132;0,1623;0,0449;0,356
2,079713;-0,1389;0,3346;0,0393;0,364
2,111037;-0,0027;0,5450;-0,0897;0,552
2,111978;0,0958;0,6785;-0,0952;0,692
2,112518;0,0787;0,6594;-0,1541;0,682
2,128439;0,0624;0,9462;-0,1589;0,962
2,129710;0,2758;0,4671;-0,2111;0,582
2,159540;0,4507;-0,5097;-0,2139;0,713
2,161075;0,5452;-1,5214;0,2831;1,641
2,162356;-0,4738;-1,4199;0,2827;1,523
2,179055;-1,1880;-0,7040;0,6724;1,536
2,181140;-0,9503;-0,7875;0,8353;1,490
2,204130;-0,4513;-1,0948;0,8342;1,449
2,205323;-1,0270;-1,0938;0,4174;1,557
2,206451;-1,0773;-1,0834;0,4167;1,584
2,228767;-1,0587;-1,1807;0,2935;1,613
2,230127;-1,3819;-1,2038;0,2743;1,853
2,257451;-1,8573;-1,0744;-0,3598;2,176
2,259169;-2,0253;-0,8691;-0,3802;2,236
2,260319;-1,9112;-0,7528;-0,6487;2,154
2,279020;-2,0643;-0,2541;-0,6709;2,185
2,280322;-2,4471;0,8574;-1,9198;3,226
2,303614;-2,4447;2,2737;-1,9436;3,863
2,305363;-2,4340;2,2653;-2,1984;3,986
2,306423;-2,5595;2,0873;-2,1919;3,964
2,328986;-2,4383;1,9708;-2,1744;3,815
2,329918;-2,1978;2,7316;-1,5290;3,825
2,353201;-2,4328;2,8993;-1,4902;4,068
2,354511;-2,2364;2,6444;-1,4006;3,736
2,354967;-1,6711;2,1915;-1,2930;3,044
2,379021;-1,2714;2,4558;-0,9787;2,933
2,381015;-0,6422;2,7692;-0,6611;2,919
2,403983;-0,9318;3,0151;-0,5385;3,201
2,405799;-0,6861;2,4281;-0,1135;2,526
2,406755;-0,7629;1,4758;-0,0006;1,661
2,429087;-0,5786;0,2661;0,3759;0,740
2,430846;-0,5150;-0,1682;0,4032;0,675
2,454771;0,7256;0,0584;0,4928;0,879
2,456301;-0,5380;0,6788;0,6486;1,082
2,456858;-0,4826;1,3472;0,6869;1,587
2,478850;-1,1370;2,5988;0,6593;2,912
2,479850;-1,6453;4,0833;0,6530;4,450
2,504192;-1,0598;6,0735;0,9038;6,231
2,506642;-0,3181;5,1645;0,8505;5,244
2,507583;0,1658;3,1563;0,5206;3,203
2,528682;0,6803;1,0754;0,4610;1,353
2,530603;1,7648;-1,6159;-0,1333;2,397
2,554749;-1,1731;-2,5062;-0,1899;2,774
2,556343;-1,7690;-3,6280;-0,2446;4,044
2,557743;-0,3065;-3,8258;1,2737;4,044
2,579061;1,2685;-2,5282;1,2214;3,081
2,581203;0,5843;-1,8820;1,5133;2,485
2,604059;0,4775;-1,5045;1,4680;2,156
2,605966;0,4692;-0,6217;2,3092;2,437
2,607222;-0,2331;-0,1581;2,2744;2,292
2,628577;-1,0468;0,0744;3,6219;3,771
2,630595;-1,8996;0,1156;4,1182;4,537
2,654400;-2,6776;0,3869;4,0488;4,869
2,655827;-3,1500;0,0460;3,8099;4,944
2,657158;5,1178;-1,6979;3,7174;6,549
2,679099;8,7445;0,0484;3,5762;9,448
2,681063;-0,4285;1,4770;-3,6723;3,981
2,704364;-0,2368;0,2961;-3,8368;3,855
2,706581;-1,3890;-1,4549;-4,4609;4,893
2,707806;-1,3074;-2,4021;-4,6240;5,372
2,729027;-1,3300;-2,6232;-4,7864;5,618
2,731417;-0,8978;-3,9280;-4,9500;6,383
2,754082;-0,6094;-4,8888;-1,7807;5,239
2,755825;-0,6077;-5,1732;-1,8910;5,541
2,757079;-0,5797;-4,5128;-1,6464;4,839
2,779557;-1,3937;-3,4926;-1,5528;4,068
2,781970;-1,7935;-2,5475;-1,5251;3,469
2,803581;-2,4678;-0,9926;-1,4572;3,033
2,806526;-2,8358;-0,2441;-1,3689;3,158
2,807179;-1,8571;-0,3567;-2,7935;3,373
2,829030;-0,3361;-1,6647;-2,6113;3,115
2,831076;2,1874;0,7527;-2,3400;3,290
2,854076;2,2436;3,8353;-1,9146;4,838
2,855868;2,4086;6,8133;-1,6432;7,411
2,857057;3,0221;8,2712;-1,3627;8,911
2,879588;3,7498;8,6275;-1,0765;9,469
2,881648;2,8463;7,3919;-1,9389;8,155
2,904392;1,7558;4,6694;-1,6561;5,256
2,906923;0,2254;2,0312;-1,4288;2,494
2,908291;-1,6099;-1,0075;-1,3436;2,326
2,928680;-2,2651;-1,9137;6,1618;6,838
2,931163;-3,7557;-0,7546;6,2292;7,313
2,954363;-4,5405;1,0482;6,2863;7,825
