time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
2,168662;-0,1486;0,0885;-0,0306;0,176
2,170279;-0,2270;0,1600;-0,0321;0,280
2,184253;-0,1843;0,0385;-0,0357;0,192
2,185823;-0,0239;0,1101;-0,0353;0,118
2,186850;0,1305;0,0665;0,0298;0,149
2,210621;0,2047;0,2939;-0,0374;0,360
2,211803;0,2734;0,1725;-0,0405;0,326
2,234555;0,2254;0,1271;-0,0394;0,262
2,235874;0,2881;0,0820;-0,0438;0,303
2,236523;0,0424;0,1901;-0,0053;0,195
2,258981;-0,0099;0,1430;-0,0334;0,147
2,260356;0,0194;-0,1730;-0,0373;0,178
2,283951;0,0160;-0,1438;-0,0454;0,152
2,285271;0,0521;-0,1511;-0,0474;0,167
2,286221;0,0518;-0,0819;-0,0533;0,111
2,309336;0,1288;0,1790;0,0076;0,221
2,310706;0,0889;0,2873;0,0058;0,301
2,334514;0,1948;0,5516;0,0227;0,585
2,336049;0,2579;0,5466;0,0190;0,605
2,337160;0,1685;0,5019;-0,0245;0,530
2,359089;0,0068;0,2650;-0,0229;0,266
2,360138;0,0420;0,2586;-0,0249;0,263
2,384471;0,2705;0,6716;0,0613;0,727
2,385683;0,2735;0,6592;0,0592;0,716
2,386480;0,3540;0,6795;0,0186;0,766
2,409462;0,7001;0,6635;0,0301;0,965
2,410802;0,8868;0,6451;0,0254;1,097
2,434386;0,8000;0,7300;0,0428;1,084
2,435658;0,8250;0,6955;0,0334;1,080
2,436259;0,7306;0,5053;0,0486;0,890
2,458361;0,6442;0,5216;0,0548;0,831
2,459489;0,5090;0,2859;0,0427;0,585
2,484534;0,4484;0,2800;0,0373;0,530
2,485553;0,4166;0,3885;0,0237;0,570
2,486283;0,3436;0,3838;0,0100;0,515
2,509303;0,4640;0,3407;0,0110;0,576
2,511182;0,5045;0,4124;-0,0022;0,652
2,534651;0,4639;0,2561;0,0413;0,531
2,536412;0,4211;0,1406;0,0285;0,445
2,537254;0,2237;0,1464;-0,0003;0,267
2,559154;0,1416;0,0007;0,0151;0,142
2,560835;0,1400;0,0081;0,0049;0,140
2,590846;-0,0112;-0,0126;-0,0202;0,026
2,592360;0,0366;-0,0279;-0,0263;0,053
2,593154;0,0116;-0,0777;0,0291;0,084
2,609118;-0,0099;0,0696;0,0310;0,077
2,610896;-0,1048;0,0265;0,0280;0,112
2,634373;0,0334;-0,0166;0,0124;0,039
2,636012;0,0266;-0,0579;0,0111;0,065
2,636571;0,0608;0,0170;-0,0149;0,065
2,659122;0,0559;0,0185;-0,0018;0,059
