time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,871458;0,5176;-0,5516;0,0030;0,756
0,872046;0,4229;-1,0555;-0,0455;1,138
0,895343;0,3245;-1,4829;-0,0403;1,519
0,896156;0,5709;-1,9486;-0,0451;2,031
0,896482;0,8951;-1,8396;-0,0402;2,046
0,921627;1,1056;-1,4987;-0,1147;1,866
0,922231;1,0453;-1,1155;-0,1531;1,536
0,945864;0,9447;-1,0627;-0,1422;1,429
0,946610;0,4591;-0,8314;-0,0674;0,952
0,946900;0,0922;-0,7770;-0,0470;0,784
0,971498;-0,1556;-0,5693;0,1290;0,604
0,972357;-0,4008;-0,2468;0,1701;0,501
0,996702;-0,4159;-0,4227;0,1893;0,622
0,997206;-0,5457;-0,8287;0,1622;1,005
0,997471;-0,5597;-1,3795;0,1841;1,500
1,021288;-0,9145;-1,8125;0,4213;2,073
1,022020;-1,1102;-1,9755;1,2689;2,597
1,045472;-1,4049;-1,8683;1,2857;2,668
1,046056;-1,3804;-1,5690;1,2988;2,461
1,046421;-1,3121;-1,0019;1,3107;2,108
1,071328;-1,1613;-0,1300;1,3207;1,763
1,071942;-0,7347;0,5047;1,8627;2,065
1,095438;-0,1133;1,5776;1,8607;2,442
1,096052;-0,0605;1,5882;2,2689;2,770
1,096494;-0,1515;1,7247;2,2440;2,834
1,121327;-0,3581;1,9733;2,3337;3,077
1,122146;-0,9787;1,8008;2,3071;3,086
1,145077;-1,6308;1,4757;2,2793;3,167
1,145816;-1,9379;1,0559;0,4460;2,252
1,146239;-1,8981;1,0227;0,4246;2,198
1,171635;-2,6941;0,3667;0,3770;2,745
1,172300;-2,5274;-0,1747;0,5213;2,586
1,195478;-2,1323;0,0479;0,4756;2,185
1,196256;-1,5974;0,9125;1,0451;2,116
1,196623;-1,2637;2,6079;1,0024;3,066
1,221076;-0,9400;4,7553;0,9538;4,940
1,221939;-0,4586;6,0587;0,3319;6,085
1,245366;-2,3125;4,6090;0,2882;5,165
1,246165;-2,2061;4,4968;0,2451;5,015
1,246818;-3,2076;1,7091;0,2055;3,640
1,271340;-2,7126;1,6041;0,8579;3,266
1,271935;-2,2147;1,5353;0,8926;2,839
1,295376;-1,5861;1,1431;0,8499;2,132
1,295866;-1,1754;0,9053;0,8108;1,691
1,296296;-0,3803;1,0007;0,7798;1,324
1,321363;0,2506;0,7318;0,1428;0,787
1,321909;0,8620;0,4237;0,1231;0,968
1,346820;0,8296;0,1149;0,1076;0,844
1,347457;0,8654;-0,2615;0,3635;0,974
