time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
6,403384;-0,0627;0,0348;0,0285;0,077
6,403830;0,0902;0,1107;0,0301;0,146
6,428725;0,1294;0,1472;0,0161;0,197
6,430215;0,0164;0,0669;0,0163;0,071
6,430988;-0,0198;0,0634;-0,0077;0,067
6,453677;-0,0946;0,1371;-0,0081;0,167
6,454757;-0,1696;0,2879;0,0315;0,336
6,479019;-0,0921;0,0188;0,0307;0,099
6,480024;-0,1292;-0,0978;0,1470;0,219
6,480497;-0,0130;0,0149;0,0715;0,074
6,503251;-0,0103;0,0876;0,0705;0,113
6,503538;-0,0834;0,0440;0,1492;0,177
6,528983;-0,0784;0,0365;0,1478;0,171
6,529622;-0,0351;-0,0090;0,1610;0,165
6,530919;0,0080;0,0226;0,1590;0,161
6,553681;-0,0255;0,0561;0,1538;0,166
6,554622;-0,0209;0,1291;0,1189;0,177
6,579268;0,0611;0,1650;0,1109;0,208
6,580277;0,1425;0,1255;0,0326;0,193
6,580997;0,2243;0,1230;0,0251;0,257
6,604091;0,1146;0,1205;-0,0191;0,167
6,605405;0,1579;-0,1113;-0,0504;0,200
6,628823;0,2386;-0,2270;-0,0576;0,334
6,630098;0,2421;-0,2277;-0,1448;0,363
6,631459;0,4356;-0,5350;-0,1478;0,706
6,653625;0,4732;-0,5711;-0,2621;0,787
6,655037;0,5865;-0,4909;-0,2629;0,809
6,679014;0,5054;-0,4465;-0,4245;0,797
6,680904;0,4218;-0,2837;-0,4217;0,661
6,681760;0,2969;-0,2316;-0,4942;0,621
6,703858;0,1693;-0,2150;-0,3917;0,478
6,704942;-0,0751;-0,1610;-0,3805;0,420
6,729274;-0,3207;-0,1461;-0,1696;0,391
6,731205;-0,5674;0,1369;-0,1524;0,603
6,732079;-0,8912;0,3830;0,0791;0,973
6,753984;-1,0231;1,1652;0,1380;1,557
6,756357;-1,3846;1,9853;0,1548;2,425
6,779398;-1,9751;3,7615;-0,5798;4,288
6,781335;-2,1785;4,4987;-0,5657;5,030
6,782646;-2,6459;5,1529;-0,6296;5,827
6,803706;-3,6384;5,4433;-0,6186;6,577
6,805405;-4,5032;5,7515;-0,7252;7,341
6,828616;-4,5037;5,7128;-0,7144;7,310
6,831162;-3,3641;4,4323;-1,9991;5,913
6,832645;-2,6841;2,6300;-1,9758;4,246
6,853981;-2,2925;1,1865;-1,9438;3,231
6,856559;-2,1178;0,6196;-0,8033;2,348
6,879206;-1,2773;0,7366;-0,7758;1,666
6,881172;-1,1201;0,5110;-0,7429;1,438
6,882374;-0,9571;0,4416;-0,7050;1,268
6,910148;-1,1716;1,3673;-1,0373;2,078
6,912331;-1,1853;1,4873;-0,9785;2,139
6,928414;-0,5744;1,3762;-0,9142;1,749
6,930738;0,0337;1,3152;-0,8031;1,541
6,932017;0,2117;1,1905;-0,7150;1,405
6,954019;0,6413;0,7838;-0,0134;1,013
6,955774;1,1213;0,2914;0,5742;1,293
6,978199;1,5647;-0,1252;0,6560;1,701
6,980811;1,6359;-0,7010;0,6926;1,910
6,981686;1,6308;-1,2046;0,7412;2,159
7,009315;1,5019;-1,2413;-0,1930;1,958
7,011606;1,5098;-1,3039;-0,3611;2,027
7,028781;1,2655;-1,0085;-0,3268;1,651
7,031140;0,9327;-0,5526;-0,2854;1,121
7,032185;0,6752;-0,4406;-0,2406;0,841
7,054207;0,3813;-0,4431;-0,1987;0,617
7,056183;0,1180;-0,5101;0,0214;0,524
7,079444;0,3101;-0,4558;0,0453;0,553
7,081215;0,1557;-0,3573;0,0607;0,394
7,082056;-0,0345;-0,3304;0,0598;0,338
7,108990;-0,0674;-0,2269;0,0531;0,243
7,110759;0,2875;-0,2791;-0,1848;0,441
