time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,758823;0,3923;-0,1164;-0,1768;0,446
1,759588;0,3915;-0,1161;-0,1755;0,444
1,759845;0,4284;-0,1541;-0,2444;0,517
1,783598;0,4239;-0,0747;-0,2394;0,493
1,783925;0,1094;-0,1837;-0,2133;0,302
1,808661;0,8649;-0,5196;-0,2043;1,030
1,809181;2,3808;-0,5052;-0,3025;2,453
1,809410;3,6659;-0,4913;-0,2868;3,710
1,833680;2,1149;-0,3245;-2,2304;3,091
1,834218;1,9815;-2,0347;-0,0891;2,841
1,867625;2,8046;-0,9461;-0,0709;2,961
1,869185;0,7161;1,0624;-0,5471;1,393
1,870200;-1,7553;1,0788;-0,5285;2,127
1,884747;-3,7284;0,9026;-1,1369;4,001
1,886753;-4,9351;0,4584;-1,1179;5,081
1,909438;-5,1082;-0,3700;-2,5131;5,705
1,911308;-3,7117;-0,2008;-2,4907;4,474
1,912737;-2,3618;-3,0153;-2,4562;4,550
1,934067;0,1022;-1,7359;-2,1918;2,798
1,935352;2,7859;-0,6876;-2,1332;3,576
1,963929;3,8087;1,2440;-2,0464;4,499
1,965582;3,5228;2,6591;-1,9173;4,812
1,966957;1,7439;3,1129;-1,9709;4,076
1,984733;-0,0604;2,8596;-1,8326;3,397
1,986617;-2,2957;2,9089;-1,6974;4,076
2,009605;-4,7508;1,5154;-0,7381;5,041
2,011525;-4,7055;1,3755;-0,6209;4,942
2,012748;-4,4539;0,2661;2,0940;4,929
2,035062;-2,5200;-0,1049;2,2068;3,351
2,036769;-1,8902;0,6400;2,3282;3,066
2,062176;-1,5550;1,9081;2,4577;3,478
2,063836;-1,1716;2,2865;1,4464;2,948
2,064891;-0,7702;2,2356;1,5652;2,836
2,084325;-0,9701;1,8443;1,4225;2,523
2,086593;-1,0412;0,9303;1,4166;1,989
2,109813;-0,5899;-0,2529;1,3573;1,501
2,111626;0,3277;-1,3385;2,3181;2,697
2,113122;1,0325;-1,5811;2,1870;2,889
2,134269;2,1010;-1,3306;3,9546;4,672
2,136178;2,4292;-0,8673;3,7943;4,588
2,160587;2,8786;-0,2467;3,6092;4,623
2,162384;1,5584;-0,0745;2,2774;2,761
2,163709;-0,1219;-0,8076;2,1081;2,261
2,184701;-1,3321;-1,0546;0,9184;1,931
2,186692;-2,1111;-0,5827;0,7699;2,321
2,209259;-1,5909;-0,0688;0,6278;1,712
2,211078;-0,6487;0,2185;0,5617;0,885
2,211959;0,2560;0,3166;0,4201;0,585
2,234478;0,7256;0,4555;0,3024;0,909
2,236369;1,2579;0,6570;0,2323;1,438
2,260630;1,8562;0,7780;-0,5398;2,084
2,262594;2,7921;0,5192;-0,5749;2,898
2,263555;2,9784;0,3089;-0,5919;3,052
2,284338;2,1328;0,4314;-0,5942;2,256
2,286317;2,8283;-1,1483;-0,2788;3,065
2,309403;2,3649;-1,2086;-0,2353;2,666
2,310974;1,5168;-1,3830;1,5728;2,586
2,311788;0,5483;-1,8591;1,6220;2,527
2,334493;0,4248;-2,5255;1,6668;3,056
2,336239;-0,1935;-3,3814;0,9766;3,525
2,360082;-1,6888;-4,6166;1,0023;5,017
2,362532;-3,7383;-2,9864;0,2866;4,793
2,363807;-5,2658;-0,4531;0,2938;5,293
2,384366;-5,6395;1,9602;-0,4632;5,988
2,386678;-5,0406;3,6334;-0,4607;6,231
2,409268;-2,8538;3,6060;-1,2334;4,761
2,411590;-1,9201;2,4996;-1,2501;3,391
2,412704;-1,2909;0,7085;-1,2928;1,960
2,434626;-0,5414;-1,3522;-0,7683;1,647
2,437025;0,2435;-3,8262;-0,8234;3,921
2,459348;1,4086;-5,4508;-0,5366;5,655
2,461323;2,2514;-5,8004;-0,5807;6,249
2,462740;1,8265;-4,4146;1,3209;4,957
2,484869;0,9373;-2,2900;1,2637;2,778
2,487169;-0,4712;0,7610;1,2184;1,512
2,509928;-2,1171;3,2970;1,0376;4,053
2,512372;-3,7977;5,5301;1,0342;6,788
2,513676;-4,9075;7,2480;-0,2515;8,757
2,534326;-4,3880;8,0254;-0,2292;9,150
2,536763;-0,9097;7,7021;-0,2230;7,759
2,559746;0,4390;7,2951;-0,2152;7,311
2,561596;1,4879;6,4161;-0,1901;6,589
2,563115;1,8848;4,6269;-0,1150;4,997
2,584809;1,1408;2,4348;-0,0170;2,689
2,587110;-0,3718;0,9749;-0,6047;1,206
2,609574;-1,6749;-0,0313;-0,5136;1,752
2,611762;-2,3603;-0,8253;-1,4089;2,870
2,612884;-2,5679;-0,4411;-1,3474;2,933
2,634027;-3,5548;0,7756;-1,9053;4,107
2,636199;-3,1110;1,8452;-1,8675;4,071
2,659576;-2,3138;1,5478;-1,8513;3,343
2,661391;-2,1515;1,4285;-1,8401;3,171
2,662901;-1,6268;-1,6303;-0,7764;2,431
2,684260;-1,6523;-1,4577;-0,7483;2,327
2,686770;-2,3699;-0,8720;-0,5758;2,590
2,709915;-3,6642;0,0284;-0,5259;3,702
2,712175;-4,5792;0,9532;-0,4807;4,702
2,713419;-4,8044;1,6980;-0,4906;5,119
2,734625;-5,0255;2,7957;-0,4765;5,770
2,737275;-4,9144;3,8474;-4,1410;7,490
2,759558;-3,8602;4,5458;-4,1200;7,248
2,761505;-3,1237;4,8972;-5,7880;8,200
2,763191;-3,0207;4,5577;-5,7297;7,920
2,784447;-3,1153;3,2486;-6,6843;8,058
2,787098;-3,8647;1,7932;-6,5941;7,851
2,809707;-6,2887;0,8882;-6,4947;9,084
2,812539;-7,1964;1,2748;-4,0191;8,341
2,813959;-7,2919;1,1707;-3,7423;8,279
2,834279;-6,6457;0,8512;-0,3254;6,708
2,836397;-5,9261;0,7761;-0,0656;5,977
2,858767;-5,9261;0,7156;0,2051;5,973
2,860398;-5,8130;0,6739;-0,7900;5,905
2,861974;-5,8711;0,5625;-0,6568;5,934
2,884661;-5,4666;0,6193;-1,5442;5,714
2,887004;-4,0706;0,7042;-1,2862;4,327
2,909677;-0,7188;-0,6378;-1,0416;1,417
2,912081;-0,2996;-0,6142;0,6666;0,955
2,913024;1,4363;-0,5327;0,8684;1,761
2,934892;2,4516;-0,0602;1,3053;2,778
2,936853;2,5361;-0,0064;1,4065;2,900
2,959787;2,7605;0,0150;1,2219;3,019
2,961658;3,1931;-0,0378;1,2986;3,447
2,963225;3,4343;-0,4540;-0,0209;3,464
2,984661;3,7447;-0,9309;-0,1306;3,861
2,987348;3,4788;-1,1225;-0,2356;3,663
3,009808;3,9561;-1,4456;0,2870;4,222
3,011870;4,4977;-1,6178;0,2096;4,784
3,013179;4,8984;-1,9108;0,4034;5,273
3,034416;4,6736;-1,6971;0,3220;4,983
3,036508;3,4372;-1,4497;1,2976;3,950
3,059945;2,0307;0,1068;1,1963;2,359
3,061478;2,0307;1,0212;1,0886;2,520
3,063027;1,7134;1,7541;0,9788;2,640
3,084448;1,3483;2,4197;0,8870;2,909
3,086430;0,8996;2,5170;0,8920;2,818
3,109390;0,9022;2,3943;0,8773;2,705
3,111482;0,8182;2,1333;0,8330;2,432
3,112619;0,6304;1,8043;0,7810;2,065
3,134848;0,8584;2,0100;-2,0218;2,977
3,137085;1,0721;2,3664;-2,0654;3,319
3,159453;1,4522;4,1764;-2,2359;4,955
3,161448;1,4233;4,1869;-2,3036;4,986
3,162851;1,6702;5,3847;-2,3709;6,116
3,184700;2,0416;5,9297;-1,8541;6,540
3,186918;1,9563;5,8212;-1,8955;6,427
3,209385;1,4328;5,5167;-1,8926;6,006
3,211659;0,2048;4,9681;-1,7696;5,278
3,212991;-1,0555;4,1523;-2,8339;5,137
3,234605;-2,2329;3,8741;-2,7121;5,230
3,237118;-3,3333;3,7878;-2,5773;5,666
3,259148;-4,1251;3,7416;0,2000;5,573
3,261062;-4,3001;3,3893;0,3549;5,487
3,262480;-4,2790;2,6175;1,2385;5,167
3,284169;-4,4069;1,8863;1,3858;4,990
3,286435;-4,6065;0,9611;1,5096;4,942
3,309185;-5,3339;-1,1971;1,6241;5,703
3,311752;-5,0025;-1,9374;1,0853;5,473
3,313055;-3,4222;-1,9894;1,1781;4,130
3,334444;-1,4950;-1,8847;1,2167;2,696
3,336498;0,1614;-1,4692;2,0191;2,502
3,359445;1,4098;-0,8204;2,0277;2,602
3,361275;2,2892;-0,1304;2,3368;3,274
3,362872;2,7153;0,4507;2,2547;3,558
3,384793;2,8825;0,6173;1,7623;3,434
3,387083;2,7898;0,6774;1,6312;3,302
3,409331;2,6758;0,4370;1,2212;2,974
3,411912;2,5217;-0,1129;1,0352;2,728
3,413097;2,4971;-0,7820;0,8810;2,761
