time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
4,319689;1,1947;-0,7266;0,0365;1,399
4,320077;0,5760;-0,2919;0,0277;0,646
4,320226;-0,1194;-0,0099;0,0257;0,123
4,344475;-0,4322;0,0040;-0,0124;0,432
4,344872;-0,2096;0,0184;-0,0055;0,210
4,369647;-0,4809;0,0722;-0,0091;0,486
4,370014;-0,6689;-0,0311;0,0185;0,670
4,370146;-0,6616;-0,1019;0,0130;0,670
4,394700;-0,3798;-0,0971;-0,0242;0,393
4,395142;-0,0916;-0,1699;0,0286;0,195
4,421553;0,1134;-0,2398;0,0199;0,266
4,423170;0,1987;-0,2656;-0,0122;0,332
4,424298;0,0530;-0,2905;-0,0202;0,296
4,445249;-0,0534;-0,3916;-0,0181;0,396
4,446793;-0,0453;-0,3774;0,0131;0,380
4,470617;0,2315;-0,4875;0,0075;0,540
4,472115;0,2780;-0,3711;-0,0000;0,464
4,473037;0,2092;-0,2519;-0,0050;0,327
4,497753;0,2549;-0,2434;-0,0139;0,353
4,499145;0,3371;-0,5769;-0,0202;0,669
4,520179;0,2553;-0,4091;-0,0630;0,486
4,521278;0,3954;-0,2010;-0,0622;0,448
4,521870;0,3763;-0,0257;-0,0755;0,385
4,552566;0,5811;0,2269;-0,0709;0,628
4,553910;0,2465;0,4799;-0,0782;0,545
4,570614;-0,4648;0,8840;-0,0743;1,001
4,572605;-0,9032;0,7858;-0,0426;1,198
4,573586;-1,2640;0,8018;-0,0397;1,497
4,596363;-1,1650;0,3958;0,0470;1,231
4,598463;-0,4522;0,1014;0,0638;0,468
4,620249;1,9076;-0,3485;0,0683;1,940
4,621173;1,8913;-0,3391;-0,7262;2,054
4,621731;0,9156;0,7349;-0,7177;1,376
4,645721;-0,0215;0,7668;-0,3203;0,831
4,647725;-0,8026;0,8618;-0,3070;1,217
4,670086;-0,9988;0,7585;-0,2965;1,289
4,672445;-0,7293;0,8376;-0,1720;1,124
4,673351;-0,5880;0,7508;-0,1699;0,969
4,695452;-0,6304;0,7329;-0,1721;0,982
4,698171;-1,1288;0,2918;-1,2682;1,723
4,720670;-0,0170;-0,5703;-1,2681;1,390
4,722040;1,7792;-0,8529;-1,4964;2,476
4,723519;2,4901;-0,3590;-1,4920;2,925
4,745307;1,6120;-0,4307;-1,4817;2,231
4,747467;0,1887;-0,5350;-1,4690;1,575
4,770282;1,5546;-0,9870;-1,5667;2,418
4,772580;2,9189;0,6206;-1,5451;3,360
4,773852;2,5139;3,0543;-1,8966;4,387
4,795761;-0,4973;5,6802;-1,8641;5,999
4,798516;-1,5954;7,3534;-4,7433;8,895
4,820074;-1,7771;7,9191;-4,7104;9,384
4,822039;-2,1924;7,9544;-5,2904;9,801
4,823255;-2,1356;6,4313;-5,2486;8,571
4,844950;-1,0928;4,0297;-5,2018;6,670
4,847564;-1,0848;2,9027;-5,1256;5,990
4,870668;-1,4717;4,2186;-5,0054;6,709
4,872739;-1,5300;3,9244;-5,2498;6,731
4,873908;0,0750;4,0868;-5,0209;6,474
4,895498;-0,8231;3,7745;-4,7464;6,120
4,898049;-2,0014;2,9469;-4,4387;5,691
4,920663;-2,3794;2,2753;-3,3465;4,694
4,922915;-1,4639;1,0476;-3,0108;3,508
4,924415;-0,2189;0,1643;-2,6835;2,697
4,945601;0,6922;-0,6571;-2,4226;2,604
4,947841;1,7233;-1,5589;-2,0873;3,124
4,970422;1,9831;-2,0893;-2,4692;3,794
4,973229;2,6922;-2,9661;-2,1279;4,536
4,974636;3,9160;-3,4999;-1,7900;5,549
4,995521;4,6259;-3,6171;-1,4628;6,052
4,998395;5,3487;-3,4889;-3,3746;7,223
5,020837;6,0641;-3,6352;-3,1103;7,724
5,022998;4,8286;-2,2658;-5,3623;7,563
5,024828;-0,1593;1,2562;-5,2977;5,447
5,045381;-3,0488;4,6497;-5,2696;7,661
5,047562;-2,3837;6,9479;0,1102;7,346
5,070099;-0,8125;8,3425;0,1269;8,383
5,071632;-0,1335;7,6445;1,4130;7,775
5,072354;-0,4899;6,0368;1,4386;6,225
5,095358;-1,4923;4,7412;1,4679;5,183
5,097891;-2,1689;3,6704;-3,4224;5,467
5,120434;-4,8031;3,2376;-3,3360;6,684
5,122844;-4,7777;3,1401;-3,3596;6,631
5,124574;-5,9047;3,3189;-3,1215;7,458
5,145621;-4,0235;1,5303;-2,8520;5,164
5,147583;-2,8144;0,9083;-1,2650;3,217
5,170710;-2,1508;1,2154;-1,0330;2,678
5,173197;-1,1985;1,8514;-0,8253;2,355
5,174525;-0,4543;2,4262;-0,6777;2,560
5,195906;-0,0617;2,3700;-0,5343;2,430
5,200117;0,4555;1,1931;-0,7767;1,495
5,220190;0,7192;-0,1911;-0,6415;0,982
5,221578;0,7450;-0,8343;0,0629;1,120
5,222284;0,4918;-0,8516;0,1871;1,001
5,245292;-0,1065;-0,5934;-0,2631;0,658
5,247699;-1,1203;-0,4706;-0,1303;1,222
5,270106;-3,6465;-0,0424;0,1470;3,650
5,272360;-3,9568;0,2137;0,1659;3,966
5,273622;-2,4409;-0,4443;0,1517;2,486
5,295122;-1,1611;-0,7927;0,1051;1,410
5,297865;-0,4388;-0,8653;0,0467;0,971
5,326367;0,2439;-0,6561;-0,0126;0,700
5,328387;0,6079;0,0932;-0,2088;0,649
5,329367;0,5088;0,6116;-0,1999;0,820
5,346725;0,6426;0,8613;-0,1911;1,091
5,349313;1,2226;0,5276;-1,3268;1,880
5,370408;1,2845;-0,1957;-1,3123;1,847
5,373045;1,1951;-0,8814;-0,2603;1,508
5,374045;0,9189;-1,1476;-0,2389;1,489
5,395549;0,8194;-1,0633;-0,4142;1,405
5,397190;1,4634;-4,4175;-0,2239;4,659
5,425200;8,0791;-10,9112;-0,2221;13,578
5,428352;0,7761;-3,6858;0,8218;3,855
5,429173;-2,8254;-1,3959;0,8314;3,259
5,449939;-1,0583;-2,9383;0,8416;3,234
5,452487;-1,5511;-2,5264;-2,8639;4,122
5,470415;-2,1225;-1,6535;-2,8479;3,918
