time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,596615;-0,0238;0,3753;-1,4957;1,542
1,597466;0,0681;0,2200;-0,0544;0,237
1,621387;-0,1482;-0,4671;0,0026;0,490
1,621714;-0,2508;-0,5003;0,0571;0,563
1,621979;-0,3909;-0,6083;0,1070;0,731
1,646365;-0,4565;-0,7894;-0,2046;0,935
1,646673;-0,2960;-0,7744;0,4118;0,926
1,671863;-0,2886;-0,8342;0,4511;0,991
1,672214;-0,1638;-0,7785;0,9888;1,269
1,672442;-0,2030;-0,7842;1,0051;1,291
1,696482;-0,2855;-0,6254;1,1284;1,321
1,697822;-0,1387;-0,6191;1,1791;1,339
1,722639;-0,2582;-0,5708;1,1626;1,321
1,723383;-0,4920;-0,5571;1,1241;1,348
1,723830;-0,6070;-0,3859;1,0798;1,297
1,747596;-0,3326;-0,2453;1,0254;1,106
1,748977;-0,2473;-0,1387;0,9579;0,999
1,772802;-0,1611;-0,0674;0,8667;0,884
1,774774;0,0024;-0,0709;0,7465;0,750
1,775360;0,0898;0,0420;0,6521;0,660
1,797339;0,1384;0,1953;0,4949;0,550
1,798685;0,3423;0,3469;0,4029;0,632
1,822629;0,5086;0,6897;0,0586;0,859
1,823838;0,6360;0,8773;-0,0244;1,084
1,824533;0,4662;0,9717;-0,2795;1,113
1,847401;0,1796;0,8261;-0,3211;0,904
1,848705;0,5399;0,8358;-0,5098;1,118
1,872824;0,8237;0,3450;-0,5439;1,046
1,874206;0,4159;-0,1477;-0,6725;0,804
1,875121;0,2709;-0,9503;-0,6867;1,203
1,896943;0,8799;-2,3751;-0,6926;2,626
1,898643;-0,0531;-1,5034;-1,2951;1,985
1,924610;-0,6049;-1,0173;-1,2527;1,723
1,926101;0,0687;-1,4129;-0,1326;1,421
1,926896;-0,2163;-1,2716;-0,0871;1,293
1,946703;-0,6566;-1,3949;0,0581;1,543
1,947333;-0,6150;-1,5366;-0,1085;1,659
1,973701;-0,0845;-0,8213;-0,0925;0,831
1,975042;-0,7025;0,2020;-0,0794;0,735
1,975710;-1,4319;1,1858;-0,0690;1,860
1,997112;-0,7410;2,2035;-1,2414;2,635
1,998640;0,5666;3,1418;-1,4946;3,525
2,024359;0,1484;2,7408;-1,4788;3,118
2,026203;-0,5749;2,2249;-1,4648;2,725
2,027083;-1,3292;1,4753;-1,4545;2,462
2,047324;-1,9382;0,6948;-3,3106;3,899
2,049185;-2,4479;-0,0783;-3,2661;4,082
2,073070;-1,2717;-2,2335;-3,2148;4,116
2,074935;-0,4423;-1,6324;-3,1551;3,580
2,076258;-2,8644;0,7201;-2,5040;3,872
2,097531;-3,0164;2,1819;-2,4207;4,441
2,099088;-2,7152;3,2310;-2,3213;4,817
2,124091;-1,7240;6,5387;-2,1870;7,107
2,125909;-1,5929;6,3629;-2,3262;6,959
2,127179;-0,3871;6,4645;-2,1181;6,814
2,147450;0,1332;5,0818;-1,9134;5,432
2,149483;-0,0716;3,5171;-0,3710;3,537
2,171598;-0,5399;1,7319;-0,1771;1,823
2,172896;-0,7299;-0,0873;0,0131;0,735
